0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000
0.0489 0.1398 0.0000 0.0000 0.0000
0.1154 0.0000 0.4136 0.0000 0.0000
0.0045 0.0000 0.0000 0.0211 0.0000
0.0088 0.0000 0.0000 0.0000 0.0567
0.0000 0.2210 0.2914 0.0000 0.0000
0.0000 0.0105 0.0000 0.0107 0.0000
0.0000 0.0765 0.0000 0.0000 0.0360
0.0000 0.0000 0.0135 0.0134 0.0000
0.0000 0.0000 0.0740 0.0000 0.0367
0.0000 0.0000 0.0000 0.6897 0.3037
0.0822 0.1804 0.3525 0.0000 0.0000
0.0267 0.0752 0.0000 0.0159 0.0000
0.0289 0.1081 0.0000 0.0000 0.0464
0.0600 0.0000 0.2136 0.0173 0.0000
0.0621 0.0000 0.2438 0.0000 0.0467
0.0066 0.0000 0.0000 0.3554 0.1802
0.0000 0.1158 0.1525 0.0120 0.0000
0.0000 0.1487 0.1827 0.0000 0.0364
0.0000 0.0435 0.0000 0.3502 0.1699
0.0000 0.0000 0.0437 0.3515 0.1702
0.0563 0.1238 0.2395 0.0151 0.0000
0.0577 0.1458 0.2597 0.0000 0.0431
0.0207 0.0756 0.0000 0.2405 0.1321
0.0429 0.0000 0.1670 0.2414 0.1324
0.0000 0.1027 0.1263 0.2379 0.1255
0.0444 0.1120 0.1981 0.1837 0.1083
